InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537993,84406B,CREAM CUPID HEARTS COAT HANGER,11,2009-12-03 13:57:00,2.5,12638,Belgium
537993,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2009-12-03 13:57:00,3.61,12638,Belgium
537993,21754,HOME BUILDING BLOCK WORD,13,2009-12-03 13:57:00,5.95,12638,Belgium
537993,22138,BAKING SET 9 PIECE RETROSPOT,14,2009-12-03 13:57:00,5.04,12638,Belgium
537993,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2009-12-03 13:57:00,2.45,12638,Belgium
539290,71053,WHITE METAL LANTERN,19,2009-12-03 15:50:00,3.35,12838,Spain
539290,22138,BAKING SET 9 PIECE RETROSPOT,2,2009-12-03 15:50:00,5.27,12838,Spain
539290,48187,DOORMAT HOME SWEET HOME,20,2009-12-03 15:50:00,7.21,12838,Spain
540626,22960,JAM MAKING SET WITH JARS,9,2009-12-03 16:41:00,4.39,13038,Belgium
540626,22960,JAM MAKING SET WITH JARS,11,2009-12-03 16:41:00,3.87,13038,Belgium
540626,21212,PACK OF 72 RETROSPOT CAKE CASES,20,2009-12-03 16:41:00,0.58,13038,Belgium
540626,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,13,2009-12-03 16:41:00,1.56,13038,Belgium
540626,22138,BAKING SET 9 PIECE RETROSPOT,8,2009-12-03 16:41:00,4.95,13038,Belgium
540773,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,20,2009-12-04 10:52:00,3.72,13062,United Kingdom
540773,48187,DOORMAT HOME SWEET HOME,17,2009-12-04 10:52:00,7.68,13062,United Kingdom
540773,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2009-12-04 10:52:00,0.55,13062,United Kingdom
540773,21506,FANCY FONT BIRTHDAY CARD,17,2009-12-04 10:52:00,0.44,13062,United Kingdom
540773,22752,SET 7 BABUSHKA NESTING BOXES,11,2009-12-04 10:52:00,8.12,13062,United Kingdom
541539,71053,WHITE METAL LANTERN,17,2009-12-04 12:39:00,3.31,13181,Australia
541539,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2009-12-04 12:39:00,1.56,13181,Australia
541539,22423,REGENCY CAKESTAND 3 TIER,7,2009-12-04 12:39:00,13.1,13181,Australia
542268,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2009-12-04 18:21:00,4.25,,United Kingdom
539611,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,14,2009-12-04 18:28:00,1.77,12899,France
540793,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,11,2009-12-04 18:33:00,3.97,13069,United Kingdom
540793,22197,SMALL POPCORN HOLDER,14,2009-12-04 18:33:00,0.8,13069,United Kingdom
540793,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2009-12-04 18:33:00,2.42,13069,United Kingdom
C540009,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,-17,2009-12-04 18:45:00,1.65,12943,Germany
C540009,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,-20,2009-12-04 18:45:00,1.67,12943,Germany
C540009,22423,REGENCY CAKESTAND 3 TIER,-5,2009-12-04 18:45:00,11.65,12943,Germany
C540009,84406B,CREAM CUPID HEARTS COAT HANGER,-8,2009-12-04 18:45:00,2.58,12943,Germany
C540009,71053,WHITE METAL LANTERN,-9,2009-12-04 18:45:00,3.25,12943,Germany
C540009,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-16,2009-12-04 18:45:00,3.83,12943,Germany
C540009,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-10,2009-12-04 18:45:00,4.64,12943,Germany
537614,84406B,CREAM CUPID HEARTS COAT HANGER,8,2009-12-04 19:37:00,3.0,12565,Australia
537614,22960,JAM MAKING SET WITH JARS,20,2009-12-04 19:37:00,4.41,12565,Australia
537614,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2009-12-04 19:37:00,3.64,12565,Australia
537614,22197,SMALL POPCORN HOLDER,20,2009-12-04 19:37:00,0.93,12565,Australia
537618,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2009-12-05 16:05:00,2.77,12566,United Kingdom
537618,71053,WHITE METAL LANTERN,4,2009-12-05 16:05:00,3.37,12566,United Kingdom
537618,23203,JUMBO BAG VINTAGE DOILY,5,2009-12-05 16:05:00,1.92,12566,United Kingdom
537618,22960,JAM MAKING SET WITH JARS,2,2009-12-05 16:05:00,4.2,12566,United Kingdom
537618,71053,WHITE METAL LANTERN,7,2009-12-05 16:05:00,3.07,12566,United Kingdom
537618,21754,HOME BUILDING BLOCK WORD,2,2009-12-05 16:05:00,5.97,12566,United Kingdom
542461,21754,HOME BUILDING BLOCK WORD,6,2009-12-05 16:05:00,5.76,,Germany
538149,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2009-12-05 17:17:00,2.67,12656,United Kingdom
538149,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2009-12-05 17:17:00,4.12,12656,United Kingdom
542337,21506,FANCY FONT BIRTHDAY CARD,2,2009-12-05 19:16:00,0.39,,United Kingdom
541971,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2009-12-06 15:55:00,1.58,,United Kingdom
542364,21754,HOME BUILDING BLOCK WORD,8,2009-12-06 19:30:00,5.96,,United Kingdom
538032,23203,JUMBO BAG VINTAGE DOILY,6,2009-12-07 08:21:00,1.91,12643,United Kingdom
540672,22197,SMALL POPCORN HOLDER,11,2009-12-07 08:24:00,0.86,13045,United Kingdom
540672,22960,JAM MAKING SET WITH JARS,20,2009-12-07 08:24:00,4.06,13045,United Kingdom
540672,48187,DOORMAT HOME SWEET HOME,14,2009-12-07 08:24:00,7.56,13045,United Kingdom
540672,22960,JAM MAKING SET WITH JARS,10,2009-12-07 08:24:00,4.17,13045,United Kingdom
540672,22138,BAKING SET 9 PIECE RETROSPOT,3,2009-12-07 08:24:00,4.78,13045,United Kingdom
540672,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16,2009-12-07 08:24:00,3.87,13045,United Kingdom
540672,84029E,RED WOOLLY HOTTIE WHITE HEART,8,2009-12-07 08:24:00,4.11,13045,United Kingdom
539284,22086,PAPER CHAIN KIT 50'S CHRISTMAS,20,2009-12-07 08:46:00,2.57,12835,United Kingdom
539284,48187,DOORMAT HOME SWEET HOME,5,2009-12-07 08:46:00,7.75,12835,United Kingdom
539284,23298,SPACEBOY LUNCH BOX,20,2009-12-07 08:46:00,1.82,12835,United Kingdom
539284,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2009-12-07 08:46:00,4.31,12835,United Kingdom
539284,22423,REGENCY CAKESTAND 3 TIER,1,2009-12-07 08:46:00,11.56,12835,United Kingdom
539284,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2009-12-07 08:46:00,3.93,12835,United Kingdom
539515,22423,REGENCY CAKESTAND 3 TIER,10,2009-12-07 09:22:00,12.22,12880,United Kingdom
539515,84406B,CREAM CUPID HEARTS COAT HANGER,19,2009-12-07 09:22:00,2.93,12880,United Kingdom
539515,22960,JAM MAKING SET WITH JARS,15,2009-12-07 09:22:00,3.83,12880,United Kingdom
539515,21754,HOME BUILDING BLOCK WORD,10,2009-12-07 09:22:00,6.0,12880,United Kingdom
539515,48187,DOORMAT HOME SWEET HOME,16,2009-12-07 09:22:00,6.55,12880,United Kingdom
539486,22197,SMALL POPCORN HOLDER,20,2009-12-07 17:52:00,0.77,12871,United Kingdom
539486,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,19,2009-12-07 17:52:00,3.99,12871,United Kingdom
539486,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2009-12-07 17:52:00,0.58,12871,United Kingdom
539486,22423,REGENCY CAKESTAND 3 TIER,12,2009-12-07 17:52:00,12.53,12871,United Kingdom
539486,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,2009-12-07 17:52:00,4.11,12871,United Kingdom
539486,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2009-12-07 17:52:00,2.33,12871,United Kingdom
540975,71053,WHITE METAL LANTERN,20,2009-12-07 18:09:00,3.28,13101,United Kingdom
540975,22752,SET 7 BABUSHKA NESTING BOXES,16,2009-12-07 18:09:00,7.73,13101,United Kingdom
542230,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2009-12-07 18:10:00,1.55,,United Kingdom
541024,84406B,CREAM CUPID HEARTS COAT HANGER,13,2009-12-07 18:19:00,2.71,13109,United Kingdom
541024,22752,SET 7 BABUSHKA NESTING BOXES,14,2009-12-07 18:19:00,7.23,13109,United Kingdom
541024,22086,PAPER CHAIN KIT 50'S CHRISTMAS,11,2009-12-07 18:19:00,2.45,13109,United Kingdom
541024,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,10,2009-12-07 18:19:00,1.57,13109,United Kingdom
541024,22960,JAM MAKING SET WITH JARS,1,2009-12-07 18:19:00,4.53,13109,United Kingdom
541024,21212,PACK OF 72 RETROSPOT CAKE CASES,4,2009-12-07 18:19:00,0.54,13109,United Kingdom
C536963,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-15,2009-12-07 19:07:00,4.56,12441,United Kingdom
C536963,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-2,2009-12-07 19:07:00,4.04,12441,United Kingdom
C536963,21506,FANCY FONT BIRTHDAY CARD,-6,2009-12-07 19:07:00,0.43,12441,United Kingdom
536959,22197,SMALL POPCORN HOLDER,1,2009-12-08 09:28:00,0.83,12439,France
536959,22423,REGENCY CAKESTAND 3 TIER,15,2009-12-08 09:28:00,12.42,12439,France
536959,22197,SMALL POPCORN HOLDER,4,2009-12-08 09:28:00,0.87,12439,France
536959,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2009-12-08 09:28:00,1.79,12439,France
537175,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2009-12-08 11:30:00,4.07,12474,United Kingdom
540776,71053,WHITE METAL LANTERN,11,2009-12-08 13:43:00,3.5,13063,United Kingdom
540776,48187,DOORMAT HOME SWEET HOME,12,2009-12-08 13:43:00,6.74,13063,United Kingdom
540776,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2009-12-08 13:43:00,4.39,13063,United Kingdom
540776,21754,HOME BUILDING BLOCK WORD,2,2009-12-08 13:43:00,5.86,13063,United Kingdom
540031,22138,BAKING SET 9 PIECE RETROSPOT,17,2009-12-08 14:11:00,5.17,12945,United Kingdom
540031,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2009-12-08 14:11:00,2.79,12945,United Kingdom
540031,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,15,2009-12-08 14:11:00,1.63,12945,United Kingdom
540031,22197,SMALL POPCORN HOLDER,14,2009-12-08 14:11:00,0.85,12945,United Kingdom
539432,21506,FANCY FONT BIRTHDAY CARD,4,2009-12-08 14:26:00,0.45,12860,United Kingdom
539432,22752,SET 7 BABUSHKA NESTING BOXES,20,2009-12-08 14:26:00,6.97,12860,United Kingdom
539432,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2009-12-08 14:26:00,4.04,12860,United Kingdom
539432,23203,JUMBO BAG VINTAGE DOILY,4,2009-12-08 14:26:00,2.12,12860,United Kingdom
539432,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,11,2009-12-08 14:26:00,1.69,12860,United Kingdom
542304,21212,PACK OF 72 RETROSPOT CAKE CASES,5,2009-12-09 08:54:00,0.53,,United Kingdom
541090,84406B,CREAM CUPID HEARTS COAT HANGER,16,2009-12-09 09:35:00,2.65,13125,United Kingdom
541090,22423,REGENCY CAKESTAND 3 TIER,2,2009-12-09 09:35:00,13.95,13125,United Kingdom
541090,23203,JUMBO BAG VINTAGE DOILY,16,2009-12-09 09:35:00,1.82,13125,United Kingdom
541090,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2009-12-09 09:35:00,2.55,13125,United Kingdom
541090,48187,DOORMAT HOME SWEET HOME,18,2009-12-09 09:35:00,6.51,13125,United Kingdom
541090,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2009-12-09 09:35:00,3.95,13125,United Kingdom
541233,21506,FANCY FONT BIRTHDAY CARD,18,2009-12-09 10:03:00,0.41,13143,United Kingdom
541233,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,4,2009-12-09 10:03:00,3.78,13143,United Kingdom
541233,22960,JAM MAKING SET WITH JARS,15,2009-12-09 10:03:00,4.05,13143,United Kingdom
541233,84406B,CREAM CUPID HEARTS COAT HANGER,15,2009-12-09 10:03:00,2.78,13143,United Kingdom
536656,21212,PACK OF 72 RETROSPOT CAKE CASES,16,2009-12-09 11:01:00,0.6,12397,United Kingdom
536656,84406B,CREAM CUPID HEARTS COAT HANGER,20,2009-12-09 11:01:00,2.89,12397,United Kingdom
538328,23298,SPACEBOY LUNCH BOX,18,2009-12-09 12:27:00,1.94,12694,United Kingdom
538328,22086,PAPER CHAIN KIT 50'S CHRISTMAS,7,2009-12-09 12:27:00,2.39,12694,United Kingdom
536382,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,15,2009-12-09 13:51:00,1.52,12350,United Kingdom
536382,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,5,2009-12-09 13:51:00,1.57,12350,United Kingdom
536382,23203,JUMBO BAG VINTAGE DOILY,11,2009-12-09 13:51:00,1.82,12350,United Kingdom
536382,23203,JUMBO BAG VINTAGE DOILY,10,2009-12-09 13:51:00,1.99,12350,United Kingdom
536382,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17,2009-12-09 13:51:00,1.64,12350,United Kingdom
536382,22197,SMALL POPCORN HOLDER,10,2009-12-09 13:51:00,0.85,12350,United Kingdom
536382,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2009-12-09 13:51:00,2.46,12350,United Kingdom
536382,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,14,2009-12-09 13:51:00,3.81,12350,United Kingdom
540540,23203,JUMBO BAG VINTAGE DOILY,12,2009-12-09 15:00:00,2.04,13026,United Kingdom
540540,21754,HOME BUILDING BLOCK WORD,18,2009-12-09 15:00:00,6.01,13026,United Kingdom
540540,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2009-12-09 15:00:00,0.58,13026,United Kingdom
540540,22138,BAKING SET 9 PIECE RETROSPOT,20,2009-12-09 15:00:00,4.72,13026,United Kingdom
536754,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,15,2009-12-09 16:23:00,1.53,12406,United Kingdom
536754,22138,BAKING SET 9 PIECE RETROSPOT,17,2009-12-09 16:23:00,5.14,12406,United Kingdom
536754,21506,FANCY FONT BIRTHDAY CARD,16,2009-12-09 16:23:00,0.4,12406,United Kingdom
536754,48187,DOORMAT HOME SWEET HOME,19,2009-12-09 16:23:00,7.29,12406,United Kingdom
536754,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2009-12-09 16:23:00,4.59,12406,United Kingdom
536754,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2009-12-09 16:23:00,2.5,12406,United Kingdom
536754,22960,JAM MAKING SET WITH JARS,14,2009-12-09 16:23:00,4.58,12406,United Kingdom
536754,22197,SMALL POPCORN HOLDER,6,2009-12-09 16:23:00,0.92,12406,United Kingdom
540632,23298,SPACEBOY LUNCH BOX,18,2009-12-09 18:39:00,1.99,13039,United Kingdom
540632,84029E,RED WOOLLY HOTTIE WHITE HEART,20,2009-12-09 18:39:00,3.9,13039,United Kingdom
540632,21506,FANCY FONT BIRTHDAY CARD,10,2009-12-09 18:39:00,0.46,13039,United Kingdom
540632,21754,HOME BUILDING BLOCK WORD,1,2009-12-09 18:39:00,5.56,13039,United Kingdom
537386,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2009-12-10 08:45:00,1.68,12510,United Kingdom
536916,21506,FANCY FONT BIRTHDAY CARD,8,2009-12-10 12:06:00,0.38,12429,United Kingdom
536916,21754,HOME BUILDING BLOCK WORD,11,2009-12-10 12:06:00,5.38,12429,United Kingdom
541900,22960,JAM MAKING SET WITH JARS,9,2009-12-10 12:45:00,4.31,13235,United Kingdom
539609,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,2009-12-10 13:28:00,4.41,12898,United Kingdom
539609,22752,SET 7 BABUSHKA NESTING BOXES,11,2009-12-10 13:28:00,7.31,12898,United Kingdom
539609,22960,JAM MAKING SET WITH JARS,15,2009-12-10 13:28:00,3.88,12898,United Kingdom
539609,22752,SET 7 BABUSHKA NESTING BOXES,13,2009-12-10 13:28:00,7.84,12898,United Kingdom
539609,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,11,2009-12-10 13:28:00,3.99,12898,United Kingdom
540740,21506,FANCY FONT BIRTHDAY CARD,15,2009-12-10 16:03:00,0.39,13053,Italy
540740,21754,HOME BUILDING BLOCK WORD,14,2009-12-10 16:03:00,6.53,13053,Italy
539291,48187,DOORMAT HOME SWEET HOME,17,2009-12-11 10:46:00,6.84,12838,Spain
539291,21212,PACK OF 72 RETROSPOT CAKE CASES,10,2009-12-11 10:46:00,0.5,12838,Spain
539291,22960,JAM MAKING SET WITH JARS,19,2009-12-11 10:46:00,4.03,12838,Spain
539291,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2009-12-11 10:46:00,3.44,12838,Spain
539291,48187,DOORMAT HOME SWEET HOME,18,2009-12-11 10:46:00,6.82,12838,Spain
539291,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2009-12-11 10:46:00,2.49,12838,Spain
537560,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2009-12-11 11:30:00,4.24,12550,United Kingdom
537617,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,11,2009-12-11 12:42:00,4.04,12566,United Kingdom
537617,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,19,2009-12-11 12:42:00,1.75,12566,United Kingdom
537617,71053,WHITE METAL LANTERN,4,2009-12-11 12:42:00,3.31,12566,United Kingdom
537617,21212,PACK OF 72 RETROSPOT CAKE CASES,19,2009-12-11 12:42:00,0.6,12566,United Kingdom
536561,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,3,2009-12-11 13:07:00,1.48,12382,Australia
536561,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2009-12-11 13:07:00,4.03,12382,Australia
538151,22752,SET 7 BABUSHKA NESTING BOXES,8,2009-12-11 16:54:00,7.65,12656,United Kingdom
538151,21506,FANCY FONT BIRTHDAY CARD,10,2009-12-11 16:54:00,0.43,12656,United Kingdom
538151,21506,FANCY FONT BIRTHDAY CARD,15,2009-12-11 16:54:00,0.38,12656,United Kingdom
538151,21506,FANCY FONT BIRTHDAY CARD,18,2009-12-11 16:54:00,0.43,12656,United Kingdom
538151,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2009-12-11 16:54:00,3.63,12656,United Kingdom
538151,22752,SET 7 BABUSHKA NESTING BOXES,11,2009-12-11 16:54:00,8.31,12656,United Kingdom
539317,22423,REGENCY CAKESTAND 3 TIER,3,2009-12-11 17:55:00,11.93,12846,France
539317,71053,WHITE METAL LANTERN,2,2009-12-11 17:55:00,3.4,12846,France
539317,84879,ASSORTED COLOUR BIRD ORNAMENT,19,2009-12-11 17:55:00,1.83,12846,France
539317,22960,JAM MAKING SET WITH JARS,2,2009-12-11 17:55:00,4.65,12846,France
539317,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2009-12-11 17:55:00,2.44,12846,France
539317,22086,PAPER CHAIN KIT 50'S CHRISTMAS,2,2009-12-11 17:55:00,2.4,12846,France
539156,23203,JUMBO BAG VINTAGE DOILY,17,2009-12-12 09:50:00,1.8,12821,United Kingdom
539156,23298,SPACEBOY LUNCH BOX,3,2009-12-12 09:50:00,2.01,12821,United Kingdom
539156,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2009-12-12 09:50:00,2.7,12821,United Kingdom
539156,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20,2009-12-12 09:50:00,2.57,12821,United Kingdom
539156,71053,WHITE METAL LANTERN,9,2009-12-12 09:50:00,3.06,12821,United Kingdom
539156,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2009-12-12 09:50:00,4.16,12821,United Kingdom
539296,23298,SPACEBOY LUNCH BOX,3,2009-12-12 13:45:00,2.12,12839,United Kingdom
539296,23298,SPACEBOY LUNCH BOX,17,2009-12-12 13:45:00,2.0,12839,United Kingdom
539296,22138,BAKING SET 9 PIECE RETROSPOT,12,2009-12-12 13:45:00,5.31,12839,United Kingdom
539293,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,10,2009-12-12 15:05:00,1.69,12839,United Kingdom
539293,21212,PACK OF 72 RETROSPOT CAKE CASES,10,2009-12-12 15:05:00,0.6,12839,United Kingdom
539293,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2009-12-12 15:05:00,3.83,12839,United Kingdom
539293,22960,JAM MAKING SET WITH JARS,11,2009-12-12 15:05:00,4.52,12839,United Kingdom
